county,state,season,latitude,longitude,date,classification,temperature_high,temperature_low,dew_point,humidity,cloud_cover,moon_phase,precip_intensity,pressure,uv_index,visibility,wind_bearing,wind_speed
Buncombe County,North Carolina,Fall,35.7909,-82.4614,9/16/1986,Class B,76.86,56.68,59.4,0.84,0.63,0.45,0,1023.47,5,7.25,339,4.7
Giles County,Tennessee,Summer,35.20416,-87.19556,11/22/2004,Class A,59.28,55.91,54.68,0.96,0.97,0.37,0.0034,1018.73,2,5.01,74,0.73
Coos County,Oregon,Summer,43.1786,-124.3688,8/21/2004,Class B,60.99,55.37,54.89,0.94,0.83,0.19,0,1013.63,8,7.15,152,0.24
Guernsey County,Ohio,Summer,39.92781,-81.61014,8/17/2004,Class A,76.73,56.94,55.76,0.77,0.23,0.05,,1019.88,9,6.35,234,1.78
Marion County,Florida,Fall,29.07655,-81.9055,12/3/2004,Class A,64.07,48.2,41.69,0.64,0,0.71,0,1019.51,4,10,338,1.61
Waukesha County,Wisconsin,Summer,43.1575,-88.1255,8/15/1997,Class B,80.33,69.96,66.67,0.83,0.55,0.4,0.0112,1000.83,7,8.36,223,9.02
San Jacinto County,Texas,Summer,30.475,-95.09167,9/12/2004,Class A,92.24,71.49,68.12,0.74,0.35,0.93,0,1014.38,8,8.31,47,1.01
Rockingham County,New Hampshire,Summer,43.05,-70.93333,9/12/2004,Class B,74.98,56.21,52.61,0.78,0.07,0.93,0,1021.66,6,8.82,203,1.6
Southeast Fairbanks County,Alaska,Summer,62.9375,-141.5667,6/18/2004,Class A,86.24,54.31,43.18,0.39,0.33,0.03,0,1024.32,6,10,307,2.72
Jackson County,Texas,Fall,29.02611,-96.71,9/22/2004,Class A,86.19,69.87,69.96,0.77,0.43,0.29,0,1015.37,6,9.51,88,8.84
Butte County,California,Summer,39.55249,-121.5027,9/21/2004,Class B,82.35,49.01,35.24,0.34,0,0.26,0,1020.11,7,10,332,1.87
McClain County,Oklahoma,Summer,35.24194,-97.5625,9/24/2004,Class A,84.73,57.99,59.47,0.65,0.49,0.36,0,1019.94,5,9.88,38,2.29
Clackamas County,Oregon,Fall,44.9633,-122.4,9/26/2004,Class B,70.75,53.27,53.57,0.78,0.64,0.44,0,1019.35,4,10,18,0.3
Breathitt County,Kentucky,Winter,37.28205,-83.21735,1/14/1984,Class B,31.8,24.91,22.98,0.72,1,0.36,0,1032.1,2,6.79,319,5.2
Smith County,Texas,Summer,32.18333,-95.21667,10/3/2004,Class A,83.89,68.79,65.14,0.71,0.4,0.67,0,1021.93,5,8.69,55,0.92
Pierce County,Washington,Spring,47.16145,-121.8943,4/5/2003,Class B,40.65,36.49,35,0.92,0.95,0.12,0.0064,1014.25,4,8.8,180,3.12
White County,Georgia,Fall,34.68319,-83.69085,7/14/2005,Class A,85.1,70.7,69.34,0.81,0.71,0.25,0.002,1013.72,9,3.57,211,1.06
Greene County,Missouri,Fall,37.3317,-93.614,12/5/2004,Class A,49.3,49.87,38.81,0.85,0.66,0.78,0.0084,1011.64,2,6.71,149,5.7
Clallam County,Washington,Fall,48.08025,-123.7108,9/20/2004,Class B,61,47.78,42.71,0.72,0.18,0.22,0,1021.46,5,10,274,3.36
Morrow County,Ohio,Summer,40.5896,-82.82214,8/15/2002,Class A,83.49,70.15,69.71,0.83,0.58,0.26,0,1017.29,7,6.87,199,9.68
Washtenaw County,Michigan,Summer,42.36639,-83.86097,8/31/2004,Class B,78.51,55.25,57.37,0.77,0.12,0.56,0,1021.46,6,9.92,302,2.31
McKean County,Pennsylvania,Fall,41.9548,-78.65621,10/1/1963,Class A,70.05,41.97,43.38,0.71,0.03,0.44,,1024.27,5,9.79,236,3.8
Clatsop County,Oregon,Spring,45.93701,-123.5417,6/4/2004,Class B,70.69,54.16,51.4,0.82,0.34,0.56,0,1017.46,9,9.1,206,2.11
Nevada County,California,Summer,39.31917,-120.3275,8/16/2004,Class A,70.63,48.52,41.36,0.52,0.31,0.02,0,1013.93,7,10,214,0.41
Grant County,Oregon,Fall,44.9723,-118.3692,9/15/2004,Class A,53.21,34.79,42.59,0.91,0.79,0.04,0.0007,1013.89,4,9.91,213,1.39
Montgomery County,Texas,Fall,30.52694,-95.71278,10/29/2004,Class B,87.57,73.44,72.16,0.83,0.43,0.55,0,1014.79,5,9.23,167,5.02
Kosciusko County,Indiana,Spring,39.3579,-85.61,1/21/2005,Class A,26.02,19.31,10.75,0.68,0.37,0.39,0.0013,1019.84,3,9.91,68,7.96
Lake County,California,Summer,38.75,-122.7,8/13/2002,Class B,86.39,54,50.53,0.59,0.53,0.19,,1011.41,10,5.85,188,1.02
Clayton County,Georgia,Summer,33.32442,-84.2532,7/15/1984,Class A,85.72,72.73,69.17,0.72,0.53,0.58,0.007,1019.4,9,9.46,225,4.4
Vilas County,Wisconsin,Fall,46.0484,-89.66195,10/15/2001,Class B,46.41,30.18,36.7,0.87,0.8,0.96,,1013.17,2,,263,7.68
Onslow County,North Carolina,Summer,34.53784,-77.50434,7/16/1999,Class A,85.92,69.43,70.43,0.81,0.27,0.13,0.0006,1022.35,10,8.85,112,1.65
Washita County,Oklahoma,Fall,35.3011,-99.1702,9/28/1973,Class A,71.86,50.99,51.03,0.79,0.11,0.07,,1017.26,7,10,259,8.41
Montgomery County,Ohio,Summer,39.8494,-84.15971,8/15/2004,Class B,74.47,51.86,54.07,0.73,0.36,0.98,0,1025.29,6,7.7,328,1.8
Carlton County,Minnesota,Fall,46.69303,-92.49979,9/3/1977,Class B,67.65,52.38,46,0.69,0.37,0.69,0.0192,1021.44,6,9.69,103,3.61
Parker County,Texas,Winter,32.78611,-97.83334,11/20/2004,Class A,66.89,59.75,57.75,0.94,0.86,0.3,0.0063,1015.49,3,4.67,97,3.29
Lewis County,Washington,Fall,46.44165,-122.3416,11/12/2004,Class B,45.85,37.93,39.53,0.97,0.94,0.01,0,1019.99,2,6.53,91,1.39
Amherst County,Virginia,Fall,37.585,-79.052,12/7/2003,Class A,42.05,20.13,16.63,0.48,0.09,0.46,0,1018.52,2,10,314,4.37
Mason County,Washington,Fall,47.2055,-123.3958,11/1/2002,Class B,58.56,22.32,18.87,0.44,0,0.89,0,1022.69,2,10,65,1.42
Rusk County,Texas,Fall,32.01667,-94.68333,11/26/2004,Class A,65.91,55.1,48.87,0.76,0.59,0.49,0,1012.09,3,10,168,11.85
Pierce County,Washington,Summer,46.951,-122.2985,7/15/1967,Class B,79.63,52.02,43.94,0.51,0,0.29,0,1021.02,9,10,326,2.38
Montgomery County,Texas,Fall,30.405,-95.36166,11/26/2004,Class B,71.47,60.83,56.43,0.88,0.65,0.49,0.0002,1012.7,3,10,153,6.32
Benzie County,Michigan,Summer,44.51436,-85.82096,8/10/1998,Class A,82.37,62.77,63.93,0.77,0.26,0.59,,1013.24,9,7.81,351,5.1
Missoula County,Montana,Summer,47.06032,-114.0717,7/20/2004,Class A,73.35,52.71,52.85,0.71,0.41,0.1,0.0013,1015.77,8,9.96,257,1.63
Lee County,Florida,Spring,26.6878,-81.6143,12/4/2004,Class B,75.49,54.2,45.86,0.59,0,0.74,0,1019.94,4,10,41,3.4
Alpine County,California,Fall,38.45799,-120.0491,11/23/2004,Class B,42.89,23.44,24.13,0.78,0,0.41,0,1019.69,3,9.83,271,0.17
Henderson County,Texas,Spring,32.16139,-95.6,12/3/2004,Class A,58.6,37.24,37.61,0.74,0.17,0.71,0,1021.55,3,10,218,0.88
King County,Washington,Fall,47.4352,-121.7812,9/30/2004,Class B,59.32,46.77,49.87,0.88,0.62,0.58,0,1016.05,3,8.93,336,0.55
Callaway County,Missouri,Fall,38.62,-91.96238,12/6/2004,Class A,58.66,46.37,50.56,0.89,0.81,0.81,0.0109,1006.22,2,8.4,164,3.24
Weber County,Utah,Spring,41.5,-111.75,5/1/1962,Class A,57.78,41.75,21.82,0.38,0.56,0.91,,1021.76,5,10,102,3.89
Ohio County,West Virginia,Winter,40.1333,-80.68192,12/12/2004,Class A,37.97,30.29,28.72,0.78,0.95,0.03,0.0037,1006.32,2,9.16,232,11.3
Kootenai County,Idaho,Winter,47.70965,-116.9266,12/3/1988,Class A,42.01,23.28,28.67,0.92,0.4,0.82,0,1033.1,1,8.93,9,0.3
Essex County,New Jersey,Fall,40.8959,-74.2918,10/16/1971,Class A,70.61,60.52,59.41,0.89,0.91,0.92,0,1022.55,4,1.68,247,0.43
Grays Harbor County,Washington,Winter,46.988,-123.8647,12/18/2004,Class B,58.85,45.54,47.07,0.91,0.41,0.25,0.0007,1028.71,1,8.91,87,5.22
Franklin County,Virginia,Winter,37.06266,-79.82829,12/21/2004,Class A,54.42,29.21,21.44,0.56,0.44,0.35,0,1021.18,2,10,255,1.86
Clallam County,Washington,Fall,48.1368,-123.7349,10/11/2004,Class B,60.54,53.23,52.14,0.9,0.67,0.92,0,1024.82,3,10,228,1.84
Washington County,Arkansas,Fall,36.13361,-93.94389,11/15/1999,Class B,69.02,36.91,28.33,0.4,0,0.23,,1021.9,3,10,43,1.93
Umatilla County,Oregon,Winter,45.5789,-118.6016,12/15/1985,Class A,25.84,9.5,12.21,0.87,0.36,0.14,0,1034.13,1,4.44,135,1.83
Clatsop County,Oregon,Summer,46.19945,-123.9513,9/15/1993,Class A,64.03,42.97,51.6,0.81,0.44,0.98,0,1017.24,5,10,323,2.22
Uintah County,Utah,Winter,40.5,-109.9,12/25/2004,Class A,45.65,21.36,6.52,0.38,0.07,0.47,0,1027.69,2,9.83,300,1.3
Tioga County,New York,Fall,42.1174,-75.64853,10/22/2001,Class A,54.17,44.25,44.82,0.77,0.75,0.2,0.0038,1019.12,3,9.16,339,1.84
Calhoun County,Michigan,Fall,42.323,-85.05965,9/16/1974,Class A,71.13,52.29,46.76,0.7,0.13,0.02,,1020.32,6,10,187,1.5
Shelby County,Indiana,Summer,39.365,-85.8486,1/23/2005,Class A,19.32,5.38,-1.83,0.58,0.04,0.45,0.0008,1031.42,3,10,348,2.73
Santa Rosa County,Florida,Fall,31.00009,-87.00008,6/11/2006,Class B,95.21,70.27,68.05,0.69,0.28,0.49,0,1011.94,11,7.69,173,4.87
Giles County,Tennessee,Fall,35.1918,-86.9094,11/15/1989,Class B,74.4,38.4,57.3,0.84,0.9,0.59,,1006.69,3,8.06,236,7.21
Comanche County,Oklahoma,Winter,34.62944,-98.62833,1/10/2005,Class A,66.96,34.11,53.4,0.9,0.09,0.02,0,1015.04,3,6.91,188,7.05
Kinney County,Texas,Summer,29.24665,-100.4104,8/13/1994,Class B,95.04,72.89,64.16,0.55,0.2,0.23,,1014.91,9,10,135,6.39
Burlington County,New Jersey,Fall,39.652,-74.6298,12/23/2005,Class B,52.02,29.72,24.79,0.59,0.12,0.75,0,1014.85,2,9.48,219,4.01
Elk County,Pennsylvania,Summer,41.31268,-78.39445,9/30/2003,Class B,58.29,44.32,40.1,0.73,0.71,0.17,,1023.3,4,8.45,217,6.95
Whatcom County,Washington,Fall,48.9294,-122.0247,9/15/1987,Class B,58.78,48.5,46.41,0.8,0.86,0.77,,1022.83,4,10,202,9.06
McKinley County,New Mexico,Fall,35.63736,-108.8676,9/17/2002,Class A,74.6,54.8,39.32,0.44,0.41,0.38,,1005.9,8,9.79,232,12.65
Liberty County,Texas,Winter,30.01667,-94.85,1/17/2005,Class A,55.25,34.19,28.75,0.62,0.33,0.26,0,1036.12,4,10,47,2.73
Matagorda County,Texas,Summer,28.97944,-96.01666,1/17/2005,Class A,56.9,37.38,39.43,0.88,0,0.26,0,1034.72,4,9.84,51,7.52
Burleson County,Texas,Fall,30.525,-96.59167,1/17/2005,Class B,53.52,36.73,30.76,0.71,0,0.26,0.706,1035.95,4,9.04,64,1.5
Mendocino County,California,Winter,39.25,-123.15,1/16/2004,Class B,52.37,44.83,43.3,0.86,0.96,0.81,0,1017.15,2,9.96,325,0.99
Madison County,Ohio,Winter,39.96627,-83.51394,2/18/2003,Class A,28.14,28.14,22.02,0.86,1,0.56,,1020.97,3,5.57,229,9.72
Colfax County,New Mexico,Winter,36.9934,-104.4801,1/23/2005,Class A,61.35,27.91,19.71,0.52,0,0.45,0,1022.72,3,10,249,1.67
Spokane County,Washington,Summer,47.62769,-117.3606,2/15/2005,Class A,35.43,16.81,12.58,0.6,0.17,0.24,0,1028.82,2,10,352,0.55
Missoula County,Montana,Winter,46.75889,-114.08,1/23/2005,Class B,55.5,27.77,29.04,0.58,0.53,0.45,0,1023.98,2,6.19,246,0.36
Snohomish County,Washington,Summer,47.485,-121.5287,4/20/2005,Class A,56.9,36.67,38.99,0.88,0.12,0.38,0,1017.6,8,9.87,215,0.13
Walker County,Texas,Winter,30.6,-95.63,1/28/2005,Class A,48.86,45.15,43.64,0.93,1,0.6,0.0177,1019.9,3,8.81,11,3.33
Liberty County,Texas,Winter,30.40833,-95.00833,2/2/2005,Class A,46.52,41.3,41.22,0.91,0.95,0.77,0,1023.42,3,9.91,336,7.06
Hickman County,Tennessee,Fall,35.94,-87.25375,10/15/1994,Class A,69.51,51.52,56.76,0.84,0.84,0.38,,1019.08,4,6.6,65,2.17
Jefferson County,Alabama,Fall,33.8132,-86.7891,9/15/1979,Class A,77.66,59.66,58.11,0.77,0.1,0.82,,1018.14,8,7.83,358,7.45
St. Clair County,Alabama,Winter,33.6332,-86.2952,2/5/2005,Class B,63.47,40.87,32.02,0.57,0,0.88,0,1027.49,4,9.37,103,1.18
Teller County,Colorado,Summer,38.826,-105.1146,7/4/1977,Class A,83.89,52.27,45.35,0.44,0.45,0.63,0,1007.48,12,10,176,2.73
Madison County,Illinois,Summer,38.92241,-90.16171,7/8/2004,Class A,85.55,73.8,69.59,0.82,0.58,0.73,0,1012.27,8,9.96,132,2.03
Hamilton County,Indiana,Summer,40.0403,-86.1084,7/10/1973,Class A,88.84,61.83,69.5,0.75,0.73,0.35,0,1012.75,5,6.27,334,6.83
San Jacinto County,Texas,Winter,30.63333,-95.3,1/8/2004,Class A,55.45,44.33,47.35,0.95,1,0.53,0.0104,1021.92,3,4.46,98,0.89
Pittsburg County,Oklahoma,Summer,34.81417,-95.65417,2/10/2005,Class A,57.52,30.5,26.92,0.67,0,0.07,0,1028.94,5,10,227,2.53
Colleton County,South Carolina,Winter,32.9032,-80.65645,2/11/2005,Class B,54.61,24.95,21.07,0.49,0.05,0.1,,1020.17,5,7,302,3.09
Clearfield County,Pennsylvania,Summer,40.97015,-78.42314,8/21/1978,Class A,78.27,48.27,49.6,0.63,0,0.62,0,1025.12,9,10,9,2.85
Pierce County,Washington,Spring,47.18556,-122.2917,6/27/1974,Class A,64.41,48.56,48.88,0.71,0.95,0.28,0,1019.12,5,8.82,224,6.32
Coffey County,Kansas,Fall,38.3908,-95.6491,11/9/1974,Class A,49.1,48.19,44.52,0.92,0.82,0.85,,1017.42,2,4.35,168,13.68
Washington County,Indiana,Summer,39.4862,-86.161,6/12/1999,Class A,87.86,68.99,67.56,0.72,0.44,0.96,0.0019,1018.77,7,6.92,5,0.76
Anne Arundel County,Maryland,Summer,39.01142,-76.53862,8/15/1972,Class B,79.03,55.72,61.86,0.68,0.48,0.21,0,1020.06,6,7.41,59,4.25
Medina County,Ohio,Fall,41.12012,-81.81317,9/20/1992,Class A,70.41,60.32,46.96,0.68,0.44,0.78,0,1017.55,6,10,144,5.21
Montgomery County,Texas,Spring,30.31667,-95.32,4/17/2002,Class A,84.47,70.07,70.4,0.8,0.73,0.16,0,1018.19,6,9.37,144,9.03
Geauga County,Ohio,Winter,41.57231,-81.22075,2/24/2005,Class A,25.95,12.27,16.57,0.78,0.61,0.52,0,1022.1,3,8.86,44,3.64
Surry County,North Carolina,Winter,36.38287,-80.46865,1/16/1999,Class B,56.64,31.01,21.4,0.48,0,0.96,,1020.42,3,10,222,4.93
Montgomery County,Maryland,Summer,39.21564,-77.4608,8/15/1994,Class B,78.91,63.92,58.53,0.68,0.74,0.3,,1017.08,5,9.7,337,3.82
Rutherford County,Tennessee,Summer,35.988,-86.5101,8/15/1988,Class A,98.38,74.23,69.35,0.6,0.16,0.1,0,1016.9,8,9.79,112,2.07
Jefferson County,Kansas,Spring,39.1441,-95.488,2/26/2005,Class B,59,45.2,30.91,0.6,0.3,0.58,0,1019.18,5,9.97,122,2.47
San Jacinto County,Texas,Fall,30.55,-95.12305,11/24/2004,Class B,54.44,35.92,46.46,0.82,0.38,0.44,0.001,1011.8,3,10,291,7.52
Blount County,Tennessee,Winter,35.5559,-84.0475,12/14/2004,Class A,30.48,20.17,18.14,0.64,0.95,0.1,0,1030.26,2,9.57,352,3.45
Gilchrist County,Florida,Fall,29.591,-82.929,11/1/1998,Class A,85,60.15,63.65,0.83,,0.41,,1014.68,0,,230,1.15
Delaware County,Ohio,Summer,40.26494,-83.0556,7/15/1976,Class A,92.81,66.67,68.06,0.66,0.35,0.64,,1011.62,9,9.08,266,11.05
Morrow County,Ohio,Winter,40.50945,-82.87663,1/13/2005,Class A,63.6,27.63,47.17,0.79,0.57,0.12,0.024,1005.93,2,8.21,199,11.67
Brantley County,Georgia,Fall,31.2439,-82.1341,10/11/1986,Class A,71.08,62.23,63.11,0.82,0.97,0.29,,1019.24,4,5.68,32,8.32
Coconino County,Arizona,Summer,34.96295,-111.5228,6/24/2000,Class B,73.59,41.55,45.73,0.64,0.32,0.74,0.0005,1018.19,9,9.91,262,5.89
Jasper County,Illinois,Spring,38.94564,-87.97622,5/6/2000,Class B,80.45,66.08,61.96,0.78,0.15,0.09,,1017.8,9,7.73,186,8.9
Grand Traverse County,Michigan,Winter,44.64535,-85.77714,2/11/1984,Class B,37.17,33.22,33.15,0.96,0.99,0.31,,1016.77,2,2.18,189,5.24
Fulton County,Illinois,Spring,40.5332,-90.0594,4/12/1980,Class A,46.98,32.07,29.91,0.7,0.57,0.91,0,1017.71,5,8.54,301,11.17
Ogemaw County,Michigan,Fall,44.36434,-84.05358,11/17/2003,Class A,44.88,43.36,38.38,0.88,0.96,0.77,0,1020.55,1,5.03,157,3.06
Union County,Arkansas,Fall,33.14663,-92.61493,11/5/2002,Class A,53.78,41.19,48.13,0.92,0.95,0.03,0.0316,1009.82,3,7.4,303,3.7
Passaic County,New Jersey,Fall,41.08335,-74.321,12/10/2005,Class A,32.99,18.84,17.68,0.69,0.05,0.33,0,1016.06,2,9.6,225,1.3
Pulaski County,Arkansas,Summer,34.87,-92.12,9/15/1975,Class A,63.25,60.02,56.39,0.86,0.97,0.35,0.0246,1021.99,4,6.19,17,3.96
Lawrence County,Ohio,Winter,38.60551,-82.71107,2/24/1991,Class A,59.43,34.42,30.39,0.57,0.82,0.36,0,1018.42,3,10,248,4.82
St. Louis County,Missouri,Fall,38.69428,-90.52987,10/15/2005,Class A,72.81,40.48,44.6,0.6,0,0.44,0,1019.28,5,9.93,334,1.78
Benton County,Oregon,Winter,44.6693,-123.2433,3/13/2005,Class B,67.16,29.06,32.19,0.49,0,0.12,0,1025.12,5,10,10,4.86
Whatcom County,Washington,Summer,48.78336,-122.2196,7/13/2003,Class B,65.2,57.64,54.59,0.79,0.94,0.51,0.0186,1019.83,5,9.25,179,1.51
Bayfield County,Wisconsin,Fall,46.6425,-91.1713,11/16/2004,Class B,47.39,43.98,41.09,0.93,0.88,0.15,0,1021.45,1,2.51,202,4.35
Walker County,Georgia,Winter,34.69895,-85.34145,1/16/2007,Class B,38.28,27.48,32.01,0.83,0.98,0.91,0.0004,1026.91,2,10,337,7.05
Jefferson County,Washington,Fall,47.5532,-124.3324,10/21/2004,Class B,52.9,49.03,43.66,0.78,0.72,0.28,0.0003,1009.48,2,9.12,209,3.09
Rio Arriba County,New Mexico,Winter,36.72065,-107.3956,1/10/2005,Class A,51.82,36.66,35.35,0.83,,0.02,0.04,1020.65,0,,161,1.24
Lee County,Illinois,Summer,41.86395,-89.34285,6/14/2003,Class B,80.67,57.24,58.62,0.69,0.24,0.51,0.0024,1015.11,10,8.84,55,3.97
Thurston County,Washington,Spring,46.8434,-123.2383,3/31/2005,Class B,53.84,44.96,40.62,0.79,0.87,0.71,0.0093,1024.53,4,8.48,106,1.36
Clatsop County,Oregon,Winter,46.2262,-124.0133,2/15/1978,Class A,49.74,34,36.04,0.86,0.65,0.28,0.0039,1023.91,2,10,113,0.73
Santa Cruz County,California,Spring,37,-121.7,10/1/2004,Class A,63.77,45.78,50.55,0.84,0.53,0.61,0,1016.41,6,9.97,282,0.78
Burlington County,New Jersey,Fall,40.16465,-74.68135,12/10/2005,Class A,34.93,20.77,18.72,0.68,0.04,0.33,0.0001,1017.08,2,8.82,249,1.76
Allegheny County,Pennsylvania,Summer,40.357,-79.8765,6/15/1985,Class A,70.78,59.65,48.57,0.6,0.85,0.91,0.0026,1016.34,5,8.38,155,4.91
Huron County,Ohio,Summer,41.0672,-82.41861,8/1/1999,Class B,85.12,61.2,67.28,0.76,0.35,0.64,0.0017,1013.36,9,8.37,357,6.02
Sebastian County,Arkansas,Fall,35.1759,-94.0679,9/27/1986,Class B,91.41,69.47,67.58,0.67,0.62,0.8,0,1016.29,6,10,197,3.92
Kane County,Illinois,Winter,42.075,-88.53872,11/17/1984,Class B,41.61,33.5,22.96,0.7,0.69,0.81,0,1024.15,2,10,214,5.95
Chelan County,Washington,Spring,47.2637,-120.2238,4/17/2005,Class B,51.11,33.51,27.84,0.57,0.12,0.29,0,1013.7,6,10,292,6.43
Utah County,Utah,Summer,40.42,-111.63,7/5/2004,Class B,68.57,48.42,39.34,0.51,0.06,0.62,0,1013.16,11,10,327,2.3
Gibson County,Tennessee,Spring,36.0165,-88.76775,4/15/1974,Class B,61.49,40.89,38.78,0.64,0.37,0.78,,1018.85,6,9.79,294,4.39
Cass County,Texas,Fall,33.09625,-94.32139,4/21/2005,Class A,81.98,66.21,64.44,0.79,0.34,0.41,0,1013.49,9,9.21,194,3.67
Shawnee County,Kansas,Spring,39.06381,-95.74633,4/26/2005,Class B,54.65,36.29,34.89,0.68,0.54,0.58,0,1007.11,6,9.66,311,6.02
Shasta County,California,Summer,40.75,-122.1667,7/15/1997,Class A,96.69,63.77,54.05,0.44,0,0.34,,1013.3,10,10,177,2.44
Erie County,Pennsylvania,Fall,41.91826,-80.54177,10/15/1977,Class A,61.99,41.99,41.58,0.83,0.52,0.1,0.0025,1010.79,4,7,225,7.55
Humboldt County,California,Spring,40.85,-123.7,3/1/1994,Class B,50.27,37.12,42.26,1,0.92,0.64,,1022.84,3,7.1,181,3.08
Rio Arriba County,New Mexico,Winter,36.7474,-107.6021,12/15/2004,Class A,45.92,27.32,20.43,0.68,0.2,0.14,0,1028.67,3,7.97,186,0.62
Montgomery County,Texas,Summer,30.3343,-95.28653,5/2/2005,Class A,77.35,55.87,48.3,0.59,0.01,0.8,0,1019.5,11,10,67,1.96
Humboldt County,California,Fall,40.85,-123.55,10/15/1988,Class A,56.31,37.22,44.71,0.99,0.42,0.16,,1023.92,4,5.01,340,1.15
Dutchess County,New York,Spring,41.97341,-73.66616,5/1/1985,Class B,75.94,45.88,42.63,0.48,0.85,0.38,,1015.67,8,10,10,2.63
Union County,Arkansas,Spring,33.26462,-92.64066,5/7/2005,Class A,82.77,57.55,51.48,0.64,0,0.98,0,1017.41,11,9.75,153,3.81
El Dorado County,California,Winter,38.90333,-120.6033,11/1/2004,Class A,58.25,39.68,23.92,0.45,0,0.65,0,1025.26,4,9.93,85,1.08
Rutherford County,Tennessee,Spring,35.94778,-86.36485,3/15/1993,Class B,47.91,39.47,16.02,0.48,0.42,0.77,0,1029.49,6,10,176,8.77
Tyler County,Texas,Fall,31.0232,-94.47903,6/15/2005,Class A,97.61,72.23,71.38,0.68,0.07,0.27,0,1013.3,10,9.17,337,0.53
Carroll County,Ohio,Spring,40.71737,-81.18352,5/30/2005,Class A,66.75,46.21,51.22,0.82,0.69,0.75,0.0007,1016.17,9,9.29,137,0.35
White County,Arkansas,Spring,35.07,-91.97,5/1/2005,Class B,70.01,53.11,38.49,0.56,0.28,0.77,0,1022.08,9,9.87,312,2.53
Coconino County,Arizona,Spring,35.1394,-111.6259,5/30/2005,Class B,68.59,36.88,32.14,0.38,0.01,0.76,0,1008.62,12,10,220,8.48
Tyler County,West Virginia,Summer,39.61958,-81.14833,6/5/2004,Class B,65.81,55.01,58.8,0.93,0.96,0.59,,1018.53,5,6.23,8,1.41
Grundy County,Illinois,Summer,41.3368,-88.562,6/2/2005,Class A,75.83,62.04,55.81,0.7,0.36,0.86,0.0037,1013.62,10,9.05,91,6.82
El Dorado County,California,Spring,38.96,-120.0969,5/5/2005,Class B,45.75,35.32,37.23,0.87,0.99,0.92,0.0069,1009,6,9.26,220,1.47
Putnam County,New York,Summer,41.5036,-73.7171,8/21/1980,Class A,68.27,60.55,57.86,0.8,0.94,0.34,,1017.08,4,9.87,27,10.92
Fresno County,California,Summer,36.7818,-120.201,6/28/1991,Class A,76.29,61.37,54.82,0.59,0.96,0.55,0,1010.22,5,10,194,5.55
Kitsap County,Washington,Fall,47.79,-122.54,9/1/2000,Class A,66.01,52.75,46.32,0.66,0.79,0.12,0,1009.65,5,10,184,4.41
Matagorda County,Texas,Winter,29,-95.5,2/1/2005,Class B,46.46,43.78,44.36,0.96,1,0.73,0.0291,1019.41,3,8.17,8,9.14
Pierce County,Washington,Winter,47.0849,-122.5926,3/1/1971,Class B,39.51,25.64,17,0.6,0.57,0.16,0,1031.64,3,9.53,178,1.48
Ashland County,Ohio,Spring,40.99562,-82.38627,4/7/2003,Class B,41.09,36.3,35.46,0.94,1,0.18,0.0184,1020.38,4,4.36,81,11.28
El Dorado County,California,Fall,38.91185,-120.5764,9/7/2002,Class B,71.56,49.04,29.1,0.36,0,0.03,0,1012.69,8,10,251,0.92
Essex County,New York,Fall,44.1856,-73.8094,12/28/2005,Class B,30.95,30.44,21.53,0.89,1,0.91,0,1007.56,1,8.51,104,0.52
Lawrence County,Kentucky,Summer,38.02653,-82.83278,7/3/2003,Class A,87.62,69.61,66.26,0.8,0.37,0.13,0.0004,1012.09,9,5.75,194,3.16
Shasta County,California,Winter,40.7974,-122.278,3/15/2001,Class A,56.41,35.35,34.1,0.66,0.43,0.72,0,1017.45,4,10,256,0.23
San Jacinto County,Texas,Summer,30.46,-95.13,6/27/2005,Class B,92.76,69.42,70.23,0.7,0.05,0.71,0,1015.63,11,7.3,141,1.56
Josephine County,Oregon,Spring,42.354,-123.4034,6/15/2005,Class A,79.77,57.23,41.99,0.5,0.19,0.28,0,1011.42,10,9.23,14,0.34
Lycoming County,Pennsylvania,Summer,41.4065,-76.804,7/1/2005,Class A,85.09,64.34,64.32,0.68,0.19,0.85,0,1006.8,10,6.71,267,1.39
Morris County,New Jersey,Spring,40.9934,-74.3249,12/10/2005,Class A,33.37,20.63,17.88,0.68,0.07,0.33,0.0001,1016.27,2,9.52,229,1.71
Shawnee County,Kansas,Summer,39.072,-95.747,7/8/1978,Class A,96.71,73.88,67.78,0.72,0.3,0.1,0.0021,1015.41,9,9.3,133,5.22
Volusia County,Florida,Spring,29.29063,-81.08198,5/24/2005,Class B,90.46,70.88,68.06,0.71,0.24,0.53,0,1006.55,8,7.74,255,5.95
Livingston Parish,Louisiana,Winter,30.509,-90.6763,1/4/1997,Class B,76.05,62.21,66.21,0.83,0.99,0.84,0,1010.6,3,10,199,16.24
Jefferson County,Washington,Spring,47.86028,-123.9364,9/15/2005,Class B,61.18,49.71,44.53,0.67,0.66,0.41,0,1018.03,4,9.75,260,1.52
King County,Washington,Spring,47.275,-122.195,5/1/2002,Class B,53.16,45.98,43.78,0.81,0.82,0.67,0,1019,4,9.51,200,7.84
Summit County,Ohio,Summer,41.35208,-81.57021,7/12/2005,Class B,91.22,69.41,62.35,0.55,0.64,0.19,0,1015.97,7,7.83,131,1.57
